Date,Open,High,Low,Close,Adj Close,Volume
2011-09-19,105.320000,105.599998,103.250000,104.809998,89.067253,5821600
2011-09-20,105.000000,105.269997,102.529999,102.610001,87.197716,4978100
2011-09-21,102.809998,102.830002,97.720001,97.860001,83.161186,8586100
2011-09-22,95.959999,96.029999,91.400002,93.980003,79.863976,12381300
2011-09-23,92.839996,96.519997,92.800003,95.180000,80.883751,17489100
2011-09-26,96.190002,99.730003,95.000000,99.139999,84.248940,7038600
2011-09-27,101.199997,104.080002,98.779999,99.550003,84.597336,8583800
2011-09-28,99.980003,100.809998,96.209999,96.320000,81.852463,5676800
2011-09-29,98.650002,99.980003,97.199997,99.870003,84.869278,5949200
2011-09-30,98.279999,98.400002,94.459999,94.550003,80.348343,5780200
2011-10-03,93.739998,95.720001,89.879997,90.080002,76.549767,7745200
2011-10-04,88.320000,95.220001,84.269997,94.580002,80.373833,12000000
2011-10-05,93.870003,95.540001,90.820000,94.290001,80.127388,8455400
2011-10-06,94.000000,98.000000,91.760002,97.930000,83.220673,7604000
2011-10-07,98.070000,98.070000,92.250000,92.690002,78.767746,7636900
2011-10-10,94.919998,96.389999,93.949997,96.139999,81.699539,6123500
2011-10-11,94.559998,98.809998,94.000000,96.699997,82.175423,7065300
2011-10-12,98.199997,101.129997,96.389999,99.110001,84.223450,8237900
2011-10-13,97.870003,98.019997,94.519997,96.150002,81.708023,6571500
2011-10-14,96.790001,97.839996,94.650002,96.730003,82.200928,5557400
2011-10-17,95.510002,97.889999,95.169998,96.900002,82.345367,7227800
2011-10-18,98.190002,103.739998,96.550003,102.250000,86.891808,16777200
2011-10-19,101.550003,104.940002,100.320000,100.790001,85.651085,9959400
2011-10-20,101.690002,102.169998,98.279999,100.860001,85.710564,7351200
2011-10-21,101.739998,103.059998,100.589996,102.089996,86.755829,5854800
2011-10-24,102.650002,104.730003,102.580002,103.980003,88.361938,5616600
2011-10-25,103.050003,103.169998,100.080002,100.440002,85.353676,5150100
2011-10-26,101.900002,106.739998,101.360001,106.330002,90.358955,11751700
2011-10-27,110.330002,117.529999,110.000000,116.400002,98.916428,16477900
2011-10-28,114.339996,118.070000,114.000000,115.860001,98.457542,8249500
2011-10-31,112.790001,113.889999,109.480003,109.550003,93.095345,8071700
2011-11-01,103.489998,107.099998,102.709999,103.540001,87.988045,10225400
2011-11-02,106.449997,107.250000,104.750000,106.129997,90.189018,5602800
2011-11-03,108.029999,108.709999,102.089996,107.680000,91.506210,8295100
2011-11-04,106.330002,106.570000,103.809998,105.040001,89.262733,6074600
2011-11-07,104.949997,106.150002,103.750000,105.570000,89.713120,4696900
2011-11-08,106.410004,109.260002,106.199997,108.580002,92.271011,6138600
2011-11-09,104.989998,105.000000,98.830002,99.669998,84.699310,10596500
2011-11-10,101.870003,101.940002,98.139999,99.500000,84.554871,8536500
2011-11-11,100.889999,102.199997,100.260002,101.660004,86.390411,4770400
2011-11-14,100.519997,100.610001,98.379997,99.290001,84.376404,4826400
2011-11-15,98.300003,101.019997,98.059998,99.750000,84.767303,5664100
2011-11-16,98.870003,98.989998,95.250000,95.599998,81.240639,8889900
2011-11-17,95.989998,96.440002,91.820000,92.349998,78.478790,8994900
2011-11-18,92.470001,93.389999,91.309998,91.910004,78.104897,6228700
2011-11-21,90.180000,92.290001,88.900002,91.300003,77.586510,7802900
2011-11-22,90.709999,91.800003,88.610001,89.400002,75.971893,7087400
2011-11-23,88.980003,89.279999,87.599998,87.889999,74.688713,6608600
2011-11-25,88.059998,91.440002,87.739998,88.750000,75.419540,3675000
2011-11-28,92.720001,93.750000,89.370003,90.779999,77.144623,8730600
2011-11-29,90.349998,91.290001,88.650002,88.809998,75.762604,5877300
2011-11-30,92.400002,96.010002,91.370003,95.860001,81.776863,10871200
2011-12-01,94.580002,95.620003,93.199997,94.430000,80.556976,6036600
2011-12-02,95.529999,102.419998,95.529999,97.250000,82.962677,15122900
2011-12-05,99.559998,102.190002,99.050003,99.820000,85.155083,8527400
2011-12-06,99.639999,102.099998,99.000000,101.160004,86.298233,6401800
2011-12-07,100.269997,106.099998,99.050003,105.129997,89.684975,10620400
2011-12-08,103.680000,104.690002,99.379997,99.919998,85.240410,9218200
2011-12-09,101.120003,103.580002,100.790001,101.449997,86.545624,7014600
2011-12-12,99.339996,99.449997,97.519997,98.029999,83.628075,6133300
2011-12-13,99.190002,99.940002,93.349998,95.040001,81.077354,10105700
2011-12-14,93.779999,95.709999,92.449997,93.250000,79.550331,8376300
2011-12-15,94.739998,95.099998,91.900002,91.900002,78.398643,8163200
2011-12-16,92.709999,93.589996,89.900002,90.099998,76.863075,10053500
2011-12-19,90.620003,90.919998,86.900002,87.699997,74.815666,9545300
2011-12-20,89.820000,91.500000,88.150002,90.980003,77.613815,8610800
2011-12-21,91.040001,92.209999,89.279999,92.000000,78.483955,6422500
2011-12-22,92.120003,94.949997,91.790001,94.419998,80.548439,8280500
2011-12-23,94.800003,95.000000,92.730003,93.790001,80.010979,3919500
2011-12-27,93.500000,93.839996,91.830002,91.900002,78.398643,3672000
2011-12-28,91.660004,92.440002,90.040001,90.120003,76.880157,3917400
2011-12-29,90.589996,91.430000,90.250000,91.010002,77.639404,4290500
2011-12-30,90.529999,91.139999,90.139999,90.430000,77.144623,4182800
2012-01-03,92.970001,96.430000,92.830002,95.360001,81.350334,8645200
2012-01-04,94.730003,95.129997,93.680000,94.739998,80.821396,7406200
2012-01-05,93.949997,95.800003,92.500000,94.580002,80.684937,8131300
2012-01-06,93.800003,93.959999,92.419998,93.419998,79.695343,5940900
